smiles_list,monomer_ID,replicate_count,heavy_atom_count,compressibility,compressibility_std,compressibility_count,compressibility_raw
*c1cccc(P(=O)(c2ccccc2)c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c1,PI1059,4,48,0.9559002528619572,1.0462557342358312e-10,4,4.784243160405355e-10
*C(=O)Nc1cccc(C#Cc2cccc(N3C(=O)c4ccc(*)cc4C3=O)c2)c1,PI1018,4,28,-1.2307642652987025,2.7616299474341475e-11,4,2.5189735099921873e-10
*/C=C\CCCCC*,PI74,1,7,0.12342925754949716,0.0,1,3.9218469103775737e-10
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,-0.24465418643935827,5.229151944222835e-11,4,3.540531785189153e-10
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,PI128,2,20,0.6913927301183693,3.854247838947584e-11,2,4.510227252340487e-10
*CC(*)CNc1ccc([N+](=O)[O-])cc1,PI392,2,13,-1.6682681963442663,6.090493026054312e-12,2,2.0657424044874358e-10
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,1.4828434415342835,4.397562606538577e-11,2,5.330128641638402e-10
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,-1.341903361439732,9.142842198747984e-12,5,2.4038392407104977e-10
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,PI434,1,15,0.09413922522066906,0.0,1,3.8915039744845425e-10
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1077,5,73,-0.6453532493951709,3.422508100817048e-11,5,3.1254285909294715e-10
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,-0.1348867356317378,1.0044080848688866e-11,2,3.6542451019108606e-10
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,PI223,1,14,2.1609792754694492,0.0,1,6.03264176640576e-10
*CC(*)OC(=O)CCCC(=O)c1ccccc1,PI333,1,16,-0.18955440327285952,0.0,1,3.597612268050057e-10
*CC(OC)C(C(=O)O)C(*)C(=O)O,PI388,1,12,-2.149814372425534,0.0,1,1.5668858451525004e-10
*C(CC)C(*)CC,PI62,1,6,0.6175683584553331,0.0,1,4.4337490787568376e-10
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI350,1,21,1.0124705857781606,0.0,1,4.84284705560947e-10
*CC(*)C,PI2,1,3,-0.6089859035265328,0.0,1,3.163103252121487e-10
*CC(*)N1Cc2ccccc2N1,PI229,2,11,-0.5215692864844704,3.457037645683425e-11,2,3.253662278383889e-10
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,-0.11236985651547365,4.7719762761595254e-11,2,3.6775714066368367e-10
*CC(*)c1ccc(OC)cc1,PI178,1,10,0.08722412818716681,0.0,1,3.88434029697043e-10
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCCCCCC(*)(C)C)cc5C4=O)cc3)cc1)C2=O,PI989,4,49,-1.1833412481127834,1.4550378104527647e-11,4,2.568101266294122e-10
*CC(*)C=O,PI242,1,4,-1.8449318762919023,0.0,1,1.8827281061385008e-10
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(c8ccccc8)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1025,2,72,-1.2978916213251088,1.6998270084605715e-12,2,2.449433093043818e-10
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O,PI1049,5,55,-0.5349293075712579,9.298861719109935e-12,5,3.2398219978811275e-10
*CC(*)C(=O)Oc1ccccc1C(=O)OC,PI465,2,15,-1.1388317642847114,4.893945768464525e-12,2,2.6142107549851895e-10
*CC(*)c1ccc(C(=O)OC(C)C)cc1,PI163,2,14,0.2763771606469999,6.478771099845796e-11,2,4.0802929088851743e-10
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,PI958,2,55,-1.4698220644585047,2.315144562312679e-11,2,2.271322179560036e-10
*CC(*)C(=O)c1ccccc1,PI321,1,10,-0.7906889346774121,0.0,1,2.974868450470069e-10
*c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)ccc1-2,PI676,1,29,-0.8057367051437455,0.0,1,2.9592797502096185e-10
*CC(*)(C)C(=O)OCc1ccccc1,PI450,1,13,-0.11375065678614946,0.0,1,3.6761409700424407e-10
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(C2CCC(N4C(=O)c5ccc(*)cc5C4=O)CC2)C3=O)cc1,PI1088,1,40,-1.3626385820047024,0.0,1,2.382358640714317e-10
*/C=C/CCCCCCCCCC*,PI55,1,12,0.04665916876203908,0.0,1,3.8423171284903936e-10
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCCC(*)=O)cc2)cc1,PI586,1,30,-0.23077128300462965,0.0,1,3.554913744355327e-10
*CC(*)OC(=O)CC(C)(C)c1ccccc1,PI363,1,15,-0.9322779156049819,0.0,1,2.828189699036381e-10
*c1c(C)cc(C(c2cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)c2cccc3ccccc23)cc1C,PI1001,5,49,0.6541628952976826,5.313806277804351e-11,5,4.4716590978710775e-10
*c1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5cccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)cc3)c1)C2=O,PI984,5,60,-0.34837414219729684,1.7875090412247786e-11,5,3.4330833558716604e-10
*CC(*)c1ccc(COCC(CC)CCCC)cc1,PI235,2,18,0.3631485268549611,2.3452605582565633e-11,2,4.1701834891563173e-10
*CC(*)c1ccc(CCC)cc1,PI233,2,11,0.9227788468415614,8.505271427872637e-11,2,4.749931122498358e-10
*C(F)(F)C(*)(F)OC(F)C(F)F,PI405,1,11,0.1829157145938036,0.0,1,3.9834717570945374e-10
*CC(*)OC(C)=O,PI259,2,6,-0.2903404700020617,8.620724110498971e-11,2,3.4932031937498886e-10
*CC(*)(C)C(=O)OC(C)(C)C,PI444,1,10,3.1866393114230434,0.0,1,7.095171720951192e-10
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,0.45716127152783115,0.0,1,4.2675757573761503e-10
*CC(*)c1ccc(COCCCCCC)cc1,PI153,1,16,-0.15299058328132065,0.0,1,3.6354904661193584e-10
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,PI424,2,21,0.012270218300130205,2.2105554033473512e-11,2,3.806691981082573e-10
*CC(*)c1ccc(COC)cc1,PI147,2,11,-0.07300381107259671,3.272159211664689e-11,2,3.7183525631690445e-10
*CC(*)C(=O)C1CCCCC1,PI300,1,10,-0.26885719890995746,0.0,1,3.5154587348227724e-10
*CC(*)OC(=O)CCCCCCC,PI370,1,12,0.3465909716762099,0.0,1,4.15303073119095e-10
*CC(*)(C)CCC,PI45,1,6,0.7908671425840087,0.0,1,4.613277521679763e-10
*/C=C/CCC*,PI58,1,5,1.8824937658626177,0.0,1,5.744145397734244e-10
*CC(*)C(=O)N1CCOCC1,PI462,1,10,-0.8746153132981787,0.0,1,2.887925127989753e-10
*CC(*)c1ccccc1COCCC,PI87,2,13,0.7312398394002693,1.9750101117525824e-11,2,4.551506765756158e-10
*CC(*)OC(=O)c1ccc(OC)cc1,PI359,2,13,-0.10815023090239559,6.014474813839649e-11,2,3.681942717259946e-10
*CC(*)c1ccc(C(O)CCN(C)C)cc1,PI144,2,15,-0.6190028924816274,7.272261182380295e-11,2,3.1527261774124745e-10
*CC(*)Cc1cc(C)cc(C)c1,PI293,2,11,0.09385969703524906,2.068007703939141e-13,2,3.8912143979584645e-10
*CC(*)c1ccc(O)cc1,PI231,1,9,-1.3488470317684522,0.0,1,2.3966459627625136e-10
*CC(*)C(C)c1ccccc1,PI28,2,10,1.1675155956091732,4.887174802573988e-11,2,5.003465546603981e-10
*Oc1ccc(OC(=O)c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1C,PI582,2,25,0.10829725594871371,1.7280809218512341e-10,2,3.906170951083602e-10
*CC(*)OC(=O)c1ccccc1C,PI360,1,12,-0.9428547496350816,0.0,1,2.817232654219101e-10
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(C(C)(C)C)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1014,5,70,-0.9815606795272445,2.3617667887738727e-11,5,2.77713534274423e-10
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,PI367,1,13,-0.49499430195518057,0.0,1,3.28119256728483e-10
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,PI468,1,16,-0.733167492720023,0.0,1,3.034457644711754e-10
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,PI963,3,53,-1.3427367641639965,4.233734456013758e-11,3,2.4029758792381875e-10
*CC(*)c1ccc(COCCCCO)cc1,PI151,3,15,-1.0232676336133046,3.028594853658988e-11,3,2.7339291277452333e-10
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,PI469,2,15,-0.8339033596496944,9.392323621514662e-12,2,2.930100574768628e-10
*CC(*)c1ccc(C(=O)OC)cc1,PI160,2,12,0.843661227337704,6.46249648331934e-11,2,4.667969422024167e-10
*c1ccc(Oc2c(C)cc(-c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)c(C)c3)cc2C)c(C(F)(F)F)c1,PI1075,5,68,-0.38868060922341746,1.711244021939298e-11,5,3.3913279719472656e-10
*CC(*)CC(C)C,PI7,1,6,0.2677684001066405,0.0,1,4.071374684887945e-10
*CC(*)c1ccc(CCCCCCCCC)cc1,PI126,1,17,0.753184052971602,0.0,1,4.574239819040042e-10
*C1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,PI978,5,28,-1.4128826809925492,2.803870739028709e-11,5,2.3303083917601416e-10
*C(C)C(*)OCC,PI286,1,6,1.1503034254251434,0.0,1,4.985634641857593e-10
*C(O)C(*)O,PI305,2,4,-2.2236562258853305,3.3495262079722574e-11,2,1.4903895613451257e-10
*CC(*)c1ccncc1,PI226,1,8,-0.76909124571412,0.0,1,2.9972425224510615e-10
*c1ccc(S(*)(=O)=O)cc1,PI1137,1,9,-1.0911020493648549,0.0,1,2.663656234039183e-10
*CC(*)c1nc(C)nc(C)n1,PI383,1,10,0.31314531051642414,0.0,1,4.118382781981533e-10
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(c%10ccccc%10)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1039,2,84,-0.5639997032793567,3.965386488942681e-11,2,3.209706593997202e-10
*CC(*)c1ccc(C(C)CC)cc1,PI123,1,12,2.9043721240164397,0.0,1,6.802757732600792e-10
*CC(*)c1cc(Br)ccc1OC(C)C,PI202,1,13,1.222596213320754,0.0,1,5.060526175059693e-10
*CC(CCl)O*,PI526,1,5,-1.1867778817898766,0.0,1,2.5645410942130133e-10
*CC(*)C(N)=O,PI455,1,5,-2.293877591068178,0.0,1,1.417643913332742e-10
*CC(*)SCC,PI309,3,5,-0.1009877420160936,6.416180232727729e-11,3,3.6893626797465597e-10
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,PI311,1,13,2.6886300575726754,0.0,1,6.579260277287634e-10
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,PI157,2,16,0.09417789191423659,9.980774478821503e-12,2,3.891544031149245e-10
*CC(*)c1ccc(C(C)(O)CCCC)cc1,PI142,1,15,1.4077599351259922,0.0,1,5.25234607055778e-10
*CCC=C(*)CCC,PI77,1,7,0.504052482221701,0.0,1,4.316152590069856e-10
*CC(*)CCCCCCCCCCCCC,PI61,1,15,-0.0037468589251149465,0.0,1,3.79009912990429e-10
*CC(*)c1ccccc1C(=O)OC(C)C,PI101,2,14,0.6211206397590487,1.4400353301719783e-13,2,4.4374290557081286e-10
*CC(*)c1ccc(C(=O)CCCC)cc1,PI169,3,14,-0.2395548471194611,4.363505149403836e-11,3,3.5458144330313736e-10
*CC(*)c1ccccc1C(=O)OC,PI98,1,12,0.4660145900044081,0.0,1,4.2767473305570704e-10
*/C=C\CC*,PI47,1,4,0.6254734204672037,0.0,1,4.4419383080196726e-10
*CC(*)CCCC(C)(C)C,PI41,1,9,-0.036373693052651784,0.0,1,3.756299442515416e-10
*CC(*)OC1CCCCC1,PI308,2,9,-0.18877935513925231,3.382207565728357e-11,2,3.598415177229809e-10
*CCCC=C(*)c1ccc(OC)cc1,PI389,2,13,-0.3619854666982811,4.368290515147344e-11,2,3.41898273822413e-10
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,PI156,1,15,-0.28896674479840767,0.0,1,3.4946263009462603e-10
*CC(*)CCCCCCCC,PI12,1,10,0.7196660346990108,0.0,1,4.539516911660193e-10
*CC(*)C1CC=CCC1,PI67,3,8,0.4419998253264184,4.841561559391366e-11,3,4.2518692950216407e-10
*CC(*)c1ccccc1COCCCC,PI89,2,14,0.6472811630579584,1.3063158647502102e-10,2,4.464529984531812e-10
*CC(*)c1cccc2ccccc12,PI217,2,12,0.33299828989323355,7.084728214567624e-11,2,4.138949426420614e-10
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,PI356,2,13,1.13056740818582,1.6765333902764103e-11,2,4.965189164052942e-10
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,PI658,1,26,-1.3399750518338442,0.0,1,2.4058368682343083e-10
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI310,1,19,2.3104343595866887,0.0,1,6.187469387807652e-10
*CC(*)c1ccc(Br)cc1,PI136,1,9,-0.16618354130515645,0.0,1,3.6218232541797287e-10
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,-1.135887204494542,0.0,1,2.6172611643511897e-10
*CC(*)c1ccc(-c2ccccc2)cc1,PI132,1,14,0.11540176833369568,0.0,1,3.9135308529583633e-10
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,PI129,1,22,1.5655855425166827,0.0,1,5.415845114654808e-10
*CC(*)C(=O)c1ccc(CC)cc1,PI325,1,12,0.030655015238085243,0.0,1,3.82573766558821e-10
*CC(*)C(=O)c1ccc(Br)cc1,PI406,1,11,-0.39842764177079293,0.0,1,3.38123055790511e-10
*C1CCC(CC2CCC(N3C(=O)C4C5C=CC(C6C(=O)N(*)C(=O)C56)C4C3=O)C(C)C2)CC1C,PI1082,4,33,-0.8678893257481047,2.9024142009803273e-11,4,2.894892898006461e-10
*CC(*)c1ccccc1COC(C)C,PI88,1,13,0.5140512997391882,0.0,1,4.3265108401234286e-10
*CCCC(*)(C)C,PI17,1,6,-0.7808835640872736,0.0,1,2.985026299662033e-10
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI1000,5,62,0.014974551757987944,1.6696188604179955e-11,5,3.809493528579139e-10
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1106,1,42,1.6678248503973059,0.0,1,5.521759670498992e-10
*CC(*)c1ccc(C(=O)OCCC)cc1,PI162,1,14,0.9312602481181556,0.0,1,4.758717408984135e-10
*Nc1ccc(*)cc1,PI1131,2,7,-1.3188009895011852,1.2010532237949688e-10,2,2.4277720852645254e-10
*CC(*)(C)C,PI13,1,4,-1.3714999134153032,0.0,1,2.3731787665543926e-10
*c1ccc2c(c1)C(=O)N(c1c(CC)cc(Cc3cc(CC)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(CC)c3)cc1CC)C2=O,PI972,5,52,0.8423526302709026,9.02298667112582e-11,5,4.66661378415863e-10
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,PI1108,2,42,-1.0553152735771962,4.816492267523733e-12,2,2.700729455104714e-10
*CC(*)(C(=O)OC)c1ccccc1,PI220,2,12,0.5422838862010625,3.300114214910539e-11,2,4.3557583176096164e-10
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,PI1052,5,68,3.9014157517891204,1.8188030414665415e-10,5,7.835642590508087e-10
*CC(*)C1CCCCC1,PI24,1,8,-0.0955937577036772,0.0,1,3.6949505643334463e-10
*C(C)C(*)C,PI49,1,4,0.4071481657794351,0.0,1,4.215764805291903e-10
*CCCCCCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,PI970,4,37,-0.01374987083013471,1.793812501798605e-10,4,3.779736534685421e-10
*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,PI1110,1,42,-0.769639743075145,0.0,1,2.9966743079787716e-10
*CC(*)C(=O)c1ccc(C)cc1,PI330,1,11,-0.14624005675012813,0.0,1,3.6424836572323153e-10
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccccc6Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1072,5,58,-0.6993438444434598,6.15307317981457e-11,5,3.0694971687314686e-10
*CC(*)OCC(C)(C)C,PI276,1,8,1.347407343491745,0.0,1,5.189823953873947e-10
*CC(*)C(=O)OC,PI411,1,6,0.14544863769589075,0.0,1,3.9446578322873016e-10
*CC(*)C(=O)c1ccc(C)c(C)c1,PI328,1,12,-0.378498775863829,0.0,1,3.4018758168057175e-10
*CC(*)OCCOC,PI375,2,7,-0.04919705739203507,0.0,1,3.743015110230814e-10
*CC(*)c1ccccc1C(=O)OCCC(C)C,PI105,2,16,0.11022087645552499,2.9738961712176535e-11,2,3.908163720946927e-10
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,PI143,2,16,1.4419231030440955,1.9573836757494321e-10,2,5.287737319102822e-10
*CC(*)C(C)C,PI5,3,5,0.2457350646510803,1.4537250686543244e-10,3,4.0485493060105135e-10
*C=CC(C*)OC,PI303,3,6,0.19519701098492862,3.122936157827944e-11,3,3.9961945354409596e-10
*C(C)C(*)OCCCC,PI284,1,8,1.2863822506851414,0.0,1,5.126605161278946e-10
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5ccc(C(F)(F)F)cc5)c5c(=O)n(*)c(=O)c5c(-c5ccc(C(F)(F)F)cc5)c4c3=O)c2)c1,PI1055,5,60,1.3098861650164675,1.694163376868094e-10,5,5.150953982672659e-10
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,PI431,1,14,0.04348702044042545,0.0,1,3.8390309493532277e-10
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,PI365,2,13,0.01044452236187577,4.830667896556369e-11,2,3.8048006559316583e-10
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,-1.2001352168200679,0.0,1,2.550703596323879e-10
*CC(*)C(C)CC,PI35,1,6,0.7258903900310828,0.0,1,4.5459650170325663e-10
*CC(*)OC(=O)CC1CCCCC1,PI341,2,12,0.3317905501935833,6.158194458832588e-11,2,4.137698271492871e-10
*CC(*)c1c(C)cc(C)cc1C,PI210,1,11,1.1332114601016423,0.0,1,4.967928263036479e-10
*CCCCCCCC(*)C,PI19,1,9,1.9629745523984763,0.0,1,5.827519267693233e-10
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,PI394,1,14,-0.45414148313601505,0.0,1,3.3235139429857204e-10
*CC(*)c1cc(C(C)C)ccc1C(C)C,PI194,1,14,1.7539441117707575,0.0,1,5.610974704394258e-10
*CC(*)c1ccc(COCCOCC)cc1,PI133,2,15,0.03360041659088935,3.066838489420513e-11,2,3.8287889467689215e-10
*CC(*)CCCCCCCCCCCCCCCCCCCC,PI54,3,22,0.2411591420537383,1.480227205395601e-11,3,4.043808890415753e-10
*CC(*)c1ccc(Oc2ccccc2)cc1,PI183,1,15,-0.29363608112200196,0.0,1,3.4897891136349177e-10
*CCCCCCCCCCN1C(=O)C2C3C=CC(C4C(=O)N(*)C(=O)C34)C2C1=O,PI1080,3,28,-1.280725747291195,2.4191975652576685e-11,3,2.4672160374090327e-10
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,PI269,1,28,-1.43938699239202,0.0,1,2.3028513165116607e-10
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(C)c2)cc1C,PI687,1,30,0.14492659117433118,0.0,1,3.9441170194961436e-10
*CC(*)c1ccccc1C,PI83,1,9,-0.03843041725074877,0.0,1,3.7541687842152855e-10
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(*)C(=O)C6C5C4=O)cc3)cc2)cc1,PI1067,3,36,-1.2910114223418052,2.0798084168909642e-11,3,2.4565606180099205e-10
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI999,3,55,-0.9018205782424821,5.566997096509278e-11,3,2.8597419016658456e-10
*c1ccc(Oc2c(C)cc(C(c3cc(C)c(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)c(C)c3)c3cccc4ccccc34)cc2C)cc1,PI1004,5,57,0.2055777859938663,7.977552507515809e-11,5,4.006948473404564e-10
*CC(*)(C)C(=O)OC1CCCCC1,PI448,1,12,-0.41135909572115104,0.0,1,3.3678342504577737e-10
*c1ccc(Sc2ccc(Oc3ccc(Sc4ccc(N5C(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)cc3)cc2)cc1,PI1114,1,66,-0.9730642750526819,0.0,1,2.7859371717555e-10
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,-1.0689031853125075,0.0,1,2.6866530918533526e-10
*CCCC=C(*)c1ccccc1,PI390,1,11,-0.8488815576203592,0.0,1,2.914583947961436e-10
*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1111,3,52,0.8221738462067886,4.610170790703598e-11,3,4.6457096231668336e-10
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,PI174,1,17,-0.8568205433934081,0.0,1,2.9063595754628704e-10
*CC(*)CCCCCCCCCCCCCCCC,PI33,2,18,0.1521908161748648,2.4048673280277295e-12,2,3.9516423752563967e-10
*CC(*)c1ccc(Cl)c(F)c1,PI209,2,10,0.6490661089790467,2.239460063887014e-11,2,4.466379094804142e-10
*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7cccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)c7)cc6C5=O)cc4)cc3)cc2)cc1,PI1038,3,56,-1.2415277260116373,4.6592435377510195e-11,3,2.5078231297285816e-10
*CCC=C(*)C,PI522,1,5,0.9373539277161234,0.0,1,4.765030141155886e-10
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc2)cc1,PI983,1,60,-0.9835818140141407,0.0,1,2.7750415535165984e-10
*CC(*)c1cccc(CC)c1,PI114,1,10,0.9351790367125186,0.0,1,4.762777068248494e-10
