smiles_list,monomer_ID,replicate_count,heavy_atom_count,linear_expansion,linear_expansion_std,linear_expansion_count,linear_expansion_raw
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,PI958,2,55,-0.9340005045042838,1.679164356842392e-06,2,6.028259147015e-05
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,PI981,2,57,-1.08128619027722,7.363674544829918e-06,2,5.18075070719e-05
*CC(*)c1cc(C)ccc1F,PI197,2,10,-0.42537410954604565,6.714469642806959e-07,2,8.954987295664999e-05
*C(F)(F)C(*)(F)c1ccccc1,PI215,1,11,2.8390042470902856,0.0,1,0.0002773880999719
*CCC=C(*)CCCCCCC,PI68,2,11,0.9319466465323586,3.890649861727467e-06,2,0.00016765256095984998
*Nc1ccc(*)cc1,PI1131,2,7,-1.4753480411070454,4.306866925324486e-05,2,2.913247638995e-05
*CC(*)Cc1ccc(C)c(C)c1,PI292,2,11,0.12364601074340101,8.404716715666914e-06,2,0.000121141482361
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,PI469,2,15,-0.21473597272567377,1.465721634815681e-05,2,0.0001016703718203
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,PI356,2,13,0.3696839276960361,5.196659403257195e-05,2,0.0001352989485153
*CC(*)N1CCCC1=O,PI408,1,8,-0.06143012318385689,0.0,1,0.0001104918673159
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,-0.6276142562118082,0.0,1,7.79126096156e-05
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,-1.1050457640295255,0.0,1,5.04403382818e-05
*CC(*)OC(=O)c1cccc(Br)c1,PI334,1,12,-0.3930251956231648,0.0,1,9.14112878949e-05
*CC(*)CC(C)CC,PI38,1,7,0.7727620808321293,0.0,1,0.0001584927935179
*CC(*)c1c(F)c(F)c(F)c(F)c1F,PI212,1,13,-0.30966776203762175,0.0,1,9.62078251901e-05
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,PI1108,2,42,-1.1112683655181006,8.256968894857317e-06,2,5.0082278552400004e-05
*CC(*)C1CCC(C)CC1,PI66,1,9,-0.23916774667470586,0.0,1,0.0001002645234167
*CC(*)c1ccc(CCCCCCCCCC)cc1,PI127,2,18,1.003176207531143,1.6204841542987594e-05,2,0.0001717512385601
*c1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5cccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)cc3)c1)C2=O,PI984,5,60,-0.9981438725370194,3.7577346704544485e-05,5,5.65916662128e-05
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,PI336,1,17,0.5012560660859856,0.0,1,0.0001428698470141
*CC(*)CCCCCCCCCCCC,PI32,2,14,1.2421017517364987,1.6717978151140522e-05,2,0.00018549944593960002
*C(O)C(*)O,PI305,2,4,-1.3956766651171877,5.2992894709016093e-05,2,3.3716911273049994e-05
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,-0.012628052811939655,0.0,1,0.0001133000265952
*CC(*)C(=O)N1CCCCC1,PI461,1,10,-0.44853146223523976,0.0,1,8.82173570543e-05
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,PI975,5,46,-1.0603536370309177,2.8274447296880295e-05,5,5.30120039957e-05
*CC(*)CCCCCCCCC,PI64,3,11,0.9404601073643728,3.407980317149542e-05,3,0.0001681424408738
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,PI128,2,20,1.3204213253989432,1.5389344559940175e-05,2,0.00019000609567505002
*CC(*)CCC,PI4,2,5,0.13763837999510464,2.3414944707879988e-05,2,0.00012194662856185
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(C(C)(C)C)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1017,4,82,-0.9000426109813726,6.350051472842379e-06,4,6.223659000085e-05
*CC(*)c1ccc(C(C)(O)CCC)cc1,PI141,2,14,-0.29567337137300964,2.0859184303889134e-05,2,9.701308770669999e-05
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,0.21752240827972888,0.0,1,0.0001265432998421
*CC(*)C(C)=O,PI246,1,5,-0.09981798552576954,0.0,1,0.0001082829603776
*CC(*)C(=O)Oc1ccccc1,PI463,1,11,-0.10491820113740308,0.0,1,0.0001079894847589
*C(C)C(*)C,PI49,1,4,-0.4583160933290415,0.0,1,8.76543317074e-05
*CC(*)SCCCC,PI307,2,7,1.7583645881896048,3.4230456910389036e-05,2,0.00021520614206325
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1057,5,56,-0.5026730395825948,0.0001303944678868195,5,8.5101952899e-05
*CC(*)SC,PI317,2,4,-0.053786307631282955,2.0026261181073515e-05,2,0.00011093170626965001
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,PI991,5,39,-1.1281431936997348,1.901066458011241e-05,5,4.91112704582e-05
*c1ccc(Sc2ccc3c(c2)Sc2ccc(Sc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc2S3)cc1,PI1086,2,44,-1.0480322715722765,3.859083885068975e-06,2,5.3720997620000004e-05
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,PI367,1,13,-0.25275436940470214,0.0,1,9.94827246036e-05
*c1ccc(Oc2c(C)cc(Cc3cc(C)c(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)c(C)c3)cc2C)cc1,PI998,3,53,-0.9713036662799927,2.154590706009695e-05,3,5.81361001617e-05
*c1ccc(S(*)(=O)=O)cc1,PI1137,1,9,-0.11178586687406174,0.0,1,0.0001075943068675
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,-1.2416473890513757,2.7738132216966118e-06,4,4.258003403755e-05
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,PI598,1,32,-0.10017349961236614,0.0,1,0.0001082625034549
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1106,1,42,-0.04408516424252126,0.0,1,0.0001114899275832
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,-0.994674732344652,1.0777611306686037e-05,5,5.67912868057e-05
*CC(*)OCC(F)(F)F,PI376,2,8,1.5546574038878953,0.00010628036479362184,2,0.00020348446272675002
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(c7ccccc7)CC6)cc5)cc4C3=O)cc2)cc1,PI1028,2,61,-0.5452676608760956,9.145248807964664e-06,2,8.265098145205e-05
*CC(*)C(=O)Oc1ccc(OC)cc1,PI464,1,13,1.2191053471830873,0.0,1,0.0001841761912837
*c1cccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)c1,PI992,5,37,-0.9270251655357478,1.4267528223196472e-05,5,6.06839650738e-05
*CC(*)Cc1cccc(C)c1,PI294,1,10,-0.7303694602620094,0.0,1,7.19998895701e-05
*CC(*)c1ccccc1C(=O)NC,PI94,2,12,-0.7458768952883084,1.628967496538716e-05,2,7.110756374795e-05
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,PI394,1,14,0.06826287217262851,0.0,1,0.0001179546365303
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,PI397,1,62,-0.381895341311548,0.0,1,9.20517198156e-05
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,PI166,1,17,3.0254297206772174,0.0,1,0.0002881153584583
*CC(*)c1ccc(C)nc1,PI228,1,9,-0.5290462937079795,0.0,1,8.35843882192e-05
*CC(C)C(*)(C)C,PI16,2,6,-0.07497967324203461,7.31741418318396e-05,2,0.0001097122017313
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,PI433,1,15,0.14804147641615284,0.0,1,0.0001225452415208
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,PI431,1,14,-0.19374286796864576,0.0,1,0.0001028783529874
*Oc1ccc2ccc(OC(=O)Oc3ccc(OC(*)=O)cc3)cc2c1,PI816,1,24,-1.146163781164309,0.0,1,4.80743333053e-05
*CCCC=C(*)c1ccc(OC)cc1,PI389,2,13,0.319251050951847,2.8815537263635068e-05,2,0.00013239694969165
*CC(*)C(=O)NC(C)C,PI456,1,8,3.682668022375135,0.0,1,0.000325934037493
*CC(*)c1ccc(OCCC)cc1,PI180,2,12,0.5464613111323205,8.497971450813636e-06,2,0.0001454710384673
*CC(*)C(=O)Oc1cccc(C(=O)OC)c1,PI467,3,15,-0.39833878292564695,2.382308090758753e-05,3,9.11055344837e-05
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCC(*)=O)cc2)cc1,PI585,1,29,0.4326565662190882,0.0,1,0.000138922507882
*CC(*)CC1CCCC1,PI23,1,8,-0.9331369861380017,0.0,1,6.03322798767e-05
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,PI129,1,22,2.232997835417926,0.0,1,0.0002425173964283
*CC(*)C(C)C,PI5,3,5,-0.5919195470801313,5.8538097737772575e-05,3,7.99665476536e-05
*CC(*)(C)C(=O)OCc1ccccc1,PI450,1,13,0.31945818678440013,0.0,1,0.0001324088686616
*CC(*)CCc1ccccc1C,PI281,1,11,-0.019320633850155897,0.0,1,0.0001129149233936
*CC(*)OC(=O)CCl,PI372,1,7,0.04886498715647432,0.0,1,0.0001168384471885
*CC(*)CC1CCCCC1,PI25,1,9,-0.6609166904253981,0.0,1,7.59963273975e-05
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,PI239,2,14,-1.185950365797999,1.1305104233247426e-05,2,4.578494135985e-05
*CC(*)OC(=O)CCCCC,PI385,1,10,1.7070085156694004,0.0,1,0.0002122510208871
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,PI323,1,14,-0.09862893608978904,0.0,1,0.0001083513804299
*c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(Oc4ccc(Sc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,PI1115,1,58,-0.1469140603137813,0.0,1,0.0001055729671657
*CC(*)OC(=O)c1cccc(Cl)c1,PI338,1,12,-0.855914629270336,0.0,1,6.47757937759e-05
*CC(*)c1ccc(COCC(CC)CCCC)cc1,PI235,2,18,1.4361166371145915,4.508282064839937e-06,2,0.00019666341288905001
*CC(*)(C)C(=O)OC(C)(C)C,PI444,1,10,-1.7608288962721146,0.0,1,1.2705392326e-05
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,PI1030,2,40,-1.1090830815014194,8.151977490977093e-06,2,5.020802374195e-05
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,PI471,2,18,0.400847938213717,9.507986307907165e-06,2,0.00013709218197135
*c1ccc(Sc2ccc(Oc3ccc(Sc4ccc(N5C(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)cc3)cc2)cc1,PI1114,1,66,-0.5627072318030842,0.0,1,8.16474770402e-05
*C(c1ccccc1)C(*)[N+](=O)[O-],PI222,1,11,-1.4244872580962173,0.0,1,3.20590977131e-05
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,PI238,2,16,0.09425012843686226,3.44136589015828e-05,2,0.00011944999019594999
*CC(*)c1ccccc1COC(C)C,PI88,1,13,0.34789427709582316,0.0,1,0.0001340451326616
*C(F)(F)C(*)(F)OC(F)C(F)F,PI405,1,11,-0.23842559927853654,0.0,1,0.0001003072279184
*CC(*)CCCCCCCCCCC,PI63,1,13,2.1798089950812107,0.0,1,0.0002394568144815
*CC(*)C=O,PI242,1,4,-0.2619049779441228,0.0,1,9.89561820597e-05
*CC(*)c1ccccc1C(=O)OCCC(C)C,PI105,2,16,0.6650362841380546,2.2888316573971944e-05,2,0.0001522940565934
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)C5CCC6C(=O)N(*)C(=O)C6C5C4=O)cc3)cc2)cc1,PI1067,3,36,-1.1966478138964733,1.043226421938126e-05,3,4.51693908737e-05
*c1cccc(N2C(=O)c3ccc(-c4cccc5c4C(=O)N(*)C5=O)cc3C2=O)c1,PI1103,1,28,-0.863508356920975,0.0,1,6.43388369705e-05
*CC(*)OC1CCCCC1,PI308,2,9,-0.5509108034719663,1.3420118634524178e-05,2,8.2326264834e-05
*CC(*)CCCCCC,PI30,1,8,0.9425277778042864,0.0,1,0.0001682614183657
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1077,5,73,-0.670700642998616,1.243212069148393e-05,5,7.54333410939e-05
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,PI269,1,28,-0.6634539746773898,0.0,1,7.58503274786e-05
*CC(*)P(=O)(Oc1ccccc1)N(C)C,PI382,1,14,0.5855924137818709,0.0,1,0.0001477227127954
*CC(*)c1ccc(C(O)CCN(C)C)cc1,PI144,2,15,0.7493350706885781,0.0001035461731998773,2,0.00015714476103855
*CC(*)C(=O)c1ccc(C(C)C)cc1,PI326,2,13,0.8077678092710809,2.5084868850480568e-05,2,0.00016050708636235
*c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)ccc1-2,PI676,1,29,-1.3715870718055672,0.0,1,3.51030699847e-05
*CC(*)c1ccncc1,PI226,1,8,-0.662335071162455,0.0,1,7.59147112079e-05
*c1ccc2c(c1)C(=O)N(c1c(C)cc(C(c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)c3cccc4ccccc34)cc1C)C2=O,PI1003,1,58,-0.4196030943532588,0.0,1,8.98819475949e-05
*CC(*)C1CCCCC1,PI24,1,8,-0.5941841739250155,0.0,1,7.98362369344e-05
*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)nc1,PI715,1,28,-1.0025516855291106,0.0,1,5.63380326915e-05
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,PI466,1,16,-0.5431483629492788,0.0,1,8.27729296828e-05
*/C=C\CCCC*,PI60,2,6,1.5571416680628793,4.7496998900777836e-05,2,0.00020362741177465
*C1Cc2ccccc2C1*,PI386,1,9,-1.1712845637083888,0.0,1,4.66288381026e-05
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,PI332,1,15,-0.28769549512103443,0.0,1,9.74721491165e-05
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,PI424,2,21,0.6799152525799824,3.3414060347933094e-06,2,0.0001531502193131
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,PI468,1,16,0.2211141012916231,0.0,1,0.0001267499723456
*CC(*)C1CC=CCC1,PI67,3,8,-0.6509606894696149,3.948697536260221e-05,3,7.65692136758e-05
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccccc6Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1072,5,58,-0.6045608769992393,5.104228219735924e-05,5,7.92391426963e-05
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,1.215632826822237,4.8397761557418186e-05,2,0.0001839763761898
*CCC=C(*)C(C)C,PI69,1,7,0.23167996977277602,0.0,1,0.0001273579515029
*CC(*)OC,PI253,1,4,0.008471163631442251,0.0,1,0.0001145141136204
*C=CCCCCCCCC*,PI53,2,10,1.4249607483265323,2.4905611892164717e-05,2,0.00019602148289755002
*CC(*)c1ccccc1C(=O)O,PI97,1,11,-0.7555428268470795,0.0,1,7.05513685867e-05
*CC(*)c1cccc(Cl)c1,PI116,2,9,0.979561264592299,2.7354325635079884e-05,2,0.00017039239208825
*CC(*)C(=O)OCCc1ccccc1,PI474,1,13,-0.44407594228750075,0.0,1,8.847373572e-05
*c1ccc2c(c1)C(=O)N(c1c(CC)cc(Cc3cc(CC)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(CC)c3)cc1CC)C2=O,PI972,5,52,-0.24114894168880535,3.4466744678478365e-05,5,0.000100150521877
*CC(*)c1cc(Cl)ccc1Cl,PI195,2,10,-0.5845739943995485,1.0491293139703133e-06,2,8.038922402295e-05
*CC(*)c1ccc(COCCCCO)cc1,PI151,3,15,0.07752183789273781,1.2989299864790725e-05,3,0.0001184874141421
*CCCCCCCCCCN1C(=O)C2C3C=CC(C4C(=O)N(*)C(=O)C34)C2C1=O,PI1080,3,28,-0.5137136826470843,6.460334531907375e-06,3,8.44666543546e-05
*CC(*)c1ccccc1C(=O)OCCCCC,PI104,1,16,1.2470335959582382,0.0,1,0.0001857832331644
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,PI399,1,35,-0.46534530868851026,0.0,1,8.72498579589e-05
*CC(*)c1ccc(-c2ccccc2)cc1,PI132,1,14,-0.6749897664857754,0.0,1,7.51865371811e-05
*CCO*,PI524,1,3,3.1092988962605315,0.0,1,0.0002929413423124
*CC(*)C(=O)N1CCOCC1,PI462,1,10,-0.02565812225535097,0.0,1,0.0001125502528635
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,PI961,4,58,-0.9787360339047547,4.347589564102584e-05,4,5.770842830365e-05
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)c(C)c2)cc1C,PI1104,2,36,-0.6922904149993555,2.598065178475975e-05,2,7.419102661585e-05
*Cc1cc(*)c(O)cc1C,PI1138,1,9,-0.6313328423640522,0.0,1,7.76986354516e-05
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],PI396,1,16,3.366553081466605,0.0,1,0.0003077442128017
*CC(*)c1ccc(C(=O)CCC)cc1,PI168,2,13,2.195926569055538,1.6547498468145947e-05,2,0.0002403842488008
*CC(*)c1cccc(CC)c1,PI114,1,10,0.9448479985296365,0.0,1,0.0001683949280572
*CC(*)SCC,PI309,3,5,0.21863045761506084,1.530466789599346e-05,3,0.0001266070590023
*CC(*)OCC(C)(C)CC,PI316,1,9,1.2997808318973216,0.0,1,0.0001888184043965
*c1ccc(Oc2c(C)cc(C(C)(C)c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCC(c9ccccc9)CC8)cc7)cc6C5=O)cc4)c(C)c3)cc2C)cc1,PI1023,5,81,-0.8142943753451318,3.129212911003202e-05,5,6.71706983645e-05
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5ccc(C(F)(F)F)cc5)c5c(=O)n(*)c(=O)c5c(-c5ccc(C(F)(F)F)cc5)c4c3=O)c2)c1,PI1055,5,60,-0.5401833387949082,5.55284031122919e-05,5,8.29435425283e-05
*CC(*)OC(=O)c1ccncc1,PI354,2,11,-0.23295207446634947,1.9221994432145293e-05,2,0.0001006221844228
*C1CC(*)(C#N)C1,PI290,1,6,-1.5115410121878095,0.0,1,2.70498674594e-05
*CCCC(*)(C)C,PI17,1,6,-0.7085039583428626,0.0,1,7.32580700457e-05
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI967,3,36,-1.0931979313614335,4.589144016119833e-06,3,5.1122083974e-05
*CC(*)c1ccc(OCCC(C)C)cc1,PI182,1,14,0.7797018959184268,0.0,1,0.0001588921230132
*CC(*)c1cccc2ccccc12,PI217,2,12,-0.46675195745026676,1.533513979056194e-05,2,8.716891684835e-05
*C(C)C(*)OC(C)(C)C,PI285,2,8,-0.4749337873510609,5.177305995223063e-06,2,8.669811957719999e-05
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc2)cc1,PI983,1,60,-1.0088073408184444,0.0,1,5.59780709867e-05
*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,PI995,5,53,-1.000553678745229,1.7120396622661484e-05,5,5.64530016108e-05
*CC(*)OC(=O)c1ccccc1Cl,PI337,1,12,-0.41574297424984424,0.0,1,9.01040658781e-05
*CC(*)CCCCCCCC,PI12,1,10,1.6403594422100096,0.0,1,0.0002084159128135
*CC(*)c1cc(Br)ccc1OCC,PI199,1,12,1.004002417703803,0.0,1,0.0001717987801858
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3)cccc12,PI817,1,24,0.30893449236688864,0.0,1,0.0001318033162761
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI976,5,39,-0.9693067571867133,6.037090900725196e-05,5,5.82510059179e-05
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI999,3,55,-0.6305965073280022,5.807652756937812e-06,3,7.77410054996e-05
*CC(*)c1ccc(C(C)CC)cc1,PI123,1,12,0.8332542401343738,0.0,1,0.0001619736216298
*CC(*)OC(=O)CC1CCCCC1,PI341,2,12,-0.18982277228185582,2.585220813541786e-05,2,0.00010310392237399999
*CC(*)c1ccc(COCCOCCCC)cc1,PI154,1,17,1.138518102217106,0.0,1,0.0001795390556454
*CC(*)C(C)c1ccccc1,PI28,2,10,-0.4487821507065111,8.285002959976503e-06,2,8.820293198685e-05
*CC(*)C(=O)OCC,PI412,1,7,2.534194573935405,0.0,1,0.0002598488008076
*CC(*)CCCCC,PI8,1,7,1.2253660493821164,0.0,1,0.0001845364433968
