smiles_list,monomer_ID,replicate_count,heavy_atom_count,cp,cp_std,cp_count,cp_raw
*CC(*)(C)C(=O)OCc1ccccc1Cl,PI452,1,14,-0.7837844884396393,0.0,1,2602.2533526617967
*/C=C/CCC*,PI58,1,5,1.8769300328766025,0.0,1,4590.173116981803
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)cc1C)C2=O,PI980,2,54,-1.2000947192032247,203.80457335943763,2,2291.2123412367346
*CC(*)c1ccccc1COCC,PI86,1,12,0.410407440591525,0.0,1,3494.479000732489
*CC(CCl)O*,PI526,1,5,-1.158920592458508,0.0,1,2321.975077967298
*CC/C=C(\*)C(C)(C)C,PI81,1,8,1.3429762280622528,0.0,1,4191.236172292519
*CC(*)c1c(F)c(F)c(F)c(F)c1F,PI212,1,13,-1.606187068160352,0.0,1,1987.805493127508
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,PI394,1,14,-0.24393201978516932,0.0,1,3005.597410679817
*CC(*)c1ccc(C(=O)OCCC)cc1,PI162,1,14,0.29073748513676173,0.0,1,3405.069081803594
*c1ccc(-c2ccc(Oc3ccc(C4(C)CC(C)(C)c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc54)cc3)c(C(F)(F)F)c2)cc1,PI1101,2,75,-0.8056123528424096,48.63279543529364,2,2585.944935238007
*Oc1ccc(C(C)(CCC#N)c2ccc(OC(*)=O)cc2)cc1,PI1119,2,22,-0.3187132566724407,110.12065218441975,2,2949.725539564925
*c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)C6CCC7C(=O)N(*)C(=O)C7C6C5=O)cc4)cc3)cc2)cc1,PI1068,5,45,-0.4983118145759811,46.73539843918037,5,2815.5407106253665
*CC(*)C(=O)OCCCCCCCCCCCCCC,PI423,1,19,1.2773012078700463,0.0,1,4142.167897730836
*CC(*)c1ccccc1C(=O)OCCCCC,PI104,1,16,0.5810007547432714,0.0,1,3621.935673797642
*CC(*)c1ccc(C(O)CCN(C)C)cc1,PI144,2,15,0.9460250174664535,444.5632030498658,2,3894.6590120251426
*CC(*)C(=O)c1ccc(CC)cc1,PI325,1,12,0.10346089290866774,0.0,1,3265.1477050072003
*C(C)C(*)C,PI49,1,4,1.6331404450594578,0.0,1,4408.028758361404
*c1ccc2c(c1)C(=O)N(c1c(C)cc(C(c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)c3cccc4ccccc34)cc1C)C2=O,PI1003,1,58,-0.8152858778321493,0.0,1,2578.7174813478264
*CC(*)C1CCC1,PI21,1,6,1.257108790806815,0.0,1,4127.081384447354
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCC2)cc1,PI800,1,21,0.07777151948201741,0.0,1,3245.9542091403187
*c1ccc(-c2sc(-c3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,PI993,5,45,-0.8478830362265004,79.50687389249138,5,2554.3629198517874
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(-c3ccccc3)c2)cc1,PI1036,1,48,-0.7575693193838338,0.0,1,2621.839690193884
*CC(*)CCCCCCCCCCCCCC,PI56,1,16,2.576362145748111,0.0,1,5112.745121546029
*CC(*)CCCCCCCCCCCCC,PI61,1,15,1.8331864381517189,0.0,1,4557.490634205341
*CC(*)c1ccccc1C(=O)OCCC(C)C,PI105,2,16,0.49028083863812305,151.8697947513675,2,3554.1554167283257
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,PI397,1,62,0.26079473451297747,0.0,1,3382.6977280614874
*c1ccc(Oc2ccc(NC(=O)CN3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(CC(=O)Nc5ccc(Oc7ccc(-c8nnc(*)o8)cc7)cc5)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,PI1021,2,70,-0.9172391898966001,160.12364703536937,2,2502.544332192935
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,PI366,3,13,1.207430531075223,170.07858455181164,3,4089.964890518272
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(c8ccccc8)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1025,2,72,-0.44890319238814513,83.08053920201323,2,2852.4557482170094
*CC(*)c1ccc(C(C)(O)CCC)cc1,PI141,2,14,0.5728974059310356,101.83365698302225,2,3615.881357510807
*C(F)(F)C(*)(F)F,PI513,1,6,-2.1596934355222293,0.0,1,1574.2600944985263
*c1ccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5cccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)c5)cc4)cc3C2=O)cc1,PI1079,4,45,-0.651780343849222,50.183908969336436,4,2700.8786076078372
*CC(*)c1ccncc1,PI226,1,8,0.000570152631309708,0.0,1,3188.274168021469
*CC(*)OC(=O)C1CCCC1,PI378,1,10,0.46662175583706733,0.0,1,3536.4788272524147
*c1cccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)c1,PI953,1,29,-1.091638756821591,0.0,1,2372.243864705152
*/C=C\CC*,PI47,1,4,1.3318762592935955,0.0,1,4182.942968673052
*CC(*)C=C,PI521,2,4,0.973497525885396,133.90898887020074,2,3915.1847550253524
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,PI143,2,16,1.3722417155393027,162.87008351113275,2,4213.101517297404
*CC(*)c1ccc(COCCCCCC)cc1,PI153,1,16,0.7112217295041557,0.0,1,3719.228655582143
*CC(*)c1ccccc1COCCCC,PI89,2,14,0.8498843455917656,49.582693916144486,2,3822.828704698466
*C(F)(F)C(*)(F)OC(F)C(F)F,PI405,1,11,-1.8536797484303638,0.0,1,1802.8944150348832
*CC(*)CCCCCCCCCCC,PI63,1,13,2.100117979812833,0.0,1,4756.925215832698
*CC(*)OC(=O)C1CCCCC1,PI340,1,11,0.4796130589724199,0.0,1,3546.1851178221614
*CC(*)C(=O)NC(C)C,PI456,1,8,1.6577078894313657,0.0,1,4426.384018888034
*CC(*)c1cccc(CC)c1,PI114,1,10,0.6816342172611691,0.0,1,3697.122713778286
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,PI1030,2,40,-0.7148027283134661,77.27212707504837,2,2653.7922168404925
*CC(*)OC,PI253,1,4,0.6525049107359747,0.0,1,3675.35911467795
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI310,1,19,-2.1439351156236404,0.0,1,1586.0337272306033
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(C(C)(C)C)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1014,5,70,-0.33559293938175644,46.685201632714325,5,2937.1140945547704
*CC(*)c1cc(C(C)C)ccc1C(C)C,PI194,1,14,0.758801177470948,0.0,1,3754.777048403268
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,PI433,1,15,-1.8537490957966163,0.0,1,1802.842603012634
*CCCCCCCCCCCCSC(=O)S*,PI1125,1,16,0.2331207216123461,0.0,1,3362.0214334938173
*CC(*)C(=O)OCCCCCCC,PI420,1,12,0.7891368160528069,0.0,1,3777.441943497054
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI968,4,37,-1.0638786919394967,70.02645963939456,4,2392.984451940577
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3)cccc12,PI817,1,24,-0.6971612178993619,0.0,1,2666.972851945722
*CCC=C(*)C,PI522,1,5,1.3474070415661032,0.0,1,4194.5465994976
*CC(*)c1ccc(C#N)cc1,PI134,2,10,-0.29469336693307546,48.24767009660997,2,2967.671701457577
*CC(*)c1ccc(C(C)CC)cc1,PI123,1,12,0.5187121694108198,0.0,1,3575.3975319256388
*CC(*)c1ccc(Cl)c(Cl)c1,PI208,1,10,-1.350911661629169,0.0,1,2178.531338355399
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,PI1010,5,40,-1.23911542352471,20.364377225721366,5,2262.0585072884032
*C1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,PI978,5,28,-0.568040533767172,53.58355241975928,5,2763.443765270885
*CCCC=C(*)c1ccc(OC)cc1,PI389,2,13,0.5012825208670689,105.51476570861416,2,3562.375186781999
*C=CCCCCCCCC*,PI53,2,10,1.8267696248847387,196.08671675988077,2,4552.696391976351
*CC(*)(C)C(=O)OCc1ccccc1,PI450,1,13,0.06332850711119638,0.0,1,3235.16329206964
*CC(*)OCCOC,PI375,2,7,0.7333149327137005,0.0,1,3735.7353175954977
*c1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)cc2)cc1,PI982,1,60,-0.9177084659108086,0.0,1,2502.1937184551243
*CC(*)SCCCC,PI307,2,7,0.666032999459447,53.799904525790105,2,3685.466457924065
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,PI1108,2,42,-0.847718621721534,28.16004649855552,2,2554.485760104413
*CC(*)c1ccccc1C(=O)OCCN(C)C,PI108,2,16,0.4051692397591973,21.64668977350526,2,3490.565344126101
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1037,3,46,-0.7274765387214308,43.15801307411852,3,2644.323137013479
*CC(*)c1ccc2ccccc2c1,PI225,2,12,0.03176468310847141,31.60397198375486,2,3211.580773513123
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,PI323,1,14,0.5542808929516571,0.0,1,3601.972261364664
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,PI981,2,57,-1.1752493215617694,30.24655467760601,2,2309.7752710919094
*CC(*)c1cc(Br)ccc1OCC,PI199,1,12,-1.2143354408171516,0.0,1,2280.5725631892574
*C(F)C(*)(F)OC(F)(F)F,PI314,1,9,-2.004255965433517,0.0,1,1690.3932671593766
*CCC(C)C(*)C,PI51,2,6,1.7004044501142797,182.37619330432088,2,4458.284223201597
*CC(*)O[N+](=O)[O-],PI267,1,6,-0.34630034445603886,0.0,1,2929.114190017392
*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,PI995,5,53,-1.495988102637003,31.653710661231745,5,2070.1392797162
*CC(*)OC(=O)c1ccccc1OC,PI357,3,13,-0.1856844680448231,167.3827231047508,3,3049.1163445602565
*CC(*)c1ccc(COCCCC)cc1,PI150,2,14,0.7464831986433412,50.82242883209102,2,3745.5738237161786
*CC(*)CCCCCCCCC,PI64,3,11,1.941092618132702,63.945170301705076,3,4638.1113945905445
*CCCCO*,PI527,1,5,1.317739227329865,0.0,1,4172.3806610581705
*CC(*)C(C)C,PI5,3,5,1.7487993297978561,173.2215906707249,3,4494.441855688708
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,0.32184042366275406,0.0,1,3428.3072555080257
*C=CCCCCCC*,PI57,1,8,2.2244723657388072,0.0,1,4849.835048729701
*CC(*)C(C)=O,PI246,1,5,0.21634241918756444,0.0,1,3349.485733502425
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,0.7992585157212208,43.66004489659203,2,3785.0042455246303
*c1ccc(Oc2c(C)cc(Cc3cc(C)c(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)c(C)c3)cc2C)cc1,PI997,1,47,-0.4219900323053797,0.0,1,2872.5635810642443
*CC(*)C(=O)c1ccc(C(C)C)cc1,PI326,2,13,0.292583835756574,112.87694074256457,2,3406.4485597068356
*CC(*)SC,PI317,2,4,-0.44894367355569015,107.04395653008646,2,2852.425503216127
*CC(*)C(=O)OCCC#N,PI460,1,9,-0.4262235313157689,0.0,1,2869.400574929028
*CC(*)c1ccc(OCCC)cc1,PI180,2,12,0.49129864496314357,4.49655369689416,2,3554.9158580659996
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5ccccc5)c5c(=O)n(*)c(=O)c5c(-c5ccccc5)c4c3=O)c2)c1,PI1058,5,52,-1.0477743139501072,68.16041793600586,5,2405.0166376714046
*CC(*)C(=O)c1ccc(Br)cc1,PI406,1,11,-1.7116795084531657,0.0,1,1908.9881283315697
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,PI977,5,38,-1.439004439589643,53.906476471645156,5,2112.713914878171
*c1ccc(Sc2ccc(Oc3ccc(Sc4ccc(N5C(=O)c6ccc(Oc7ccc(C(C)(C)c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)cc3)cc2)cc1,PI1114,1,66,-0.9261111327625727,0.0,1,2495.915770417559
*C1CC(*)(C#N)C1,PI290,1,6,-0.31593843921457243,0.0,1,2951.7987099192355
*CC(*)c1ccccc1C(=O)OC(C)C,PI101,2,14,0.22229924004185067,64.41503429113114,2,3353.936298121019
*c1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5cccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)cc4)cc3)c1)C2=O,PI984,5,60,-1.1199495937198916,107.4456206061017,5,2351.091775007558
*CC(*)c1cccc2ccccc12,PI217,2,12,-0.09667869317440443,125.28897384390052,2,3115.6159023241585
*CC(*)c1ccc(C(=O)OC(C)C)cc1,PI163,2,14,0.06124929694580895,166.31026707850927,2,3233.6098360529068
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1,PI815,1,26,-0.8433702358963655,0.0,1,2557.7346024944886
*CC(*)OC(=O)c1cccnc1,PI368,1,11,-0.10471346039065864,0.0,1,3109.6128259238385
*CC(*)OC=O,PI270,1,5,-0.4340050972189074,0.0,1,2863.5866747408354
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,PI431,1,14,-1.6830523675843139,0.0,1,1930.3765406070104
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,PI966,5,45,-0.9698256047761231,67.63867405083397,4,2463.2550463126818
*c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccc(Oc5ccccc5Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1073,5,58,-1.1659043483364038,139.12862828807184,5,2316.7572516174096
*c1ccc(Oc2ccc3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3c2)cc1,PI1050,5,40,-0.8818880425656622,140.18474899901588,5,2528.9565022726456
*C(C)C(*)OCCCC,PI284,1,8,1.4584683997904393,0.0,1,4277.524712067589
*CC(*)C,PI2,1,3,1.4446372626871846,0.0,1,4267.190949993415
