smiles_list,monomer_ID,replicate_count,heavy_atom_count,thermal_diffusivity,thermal_diffusivity_std,thermal_diffusivity_count,thermal_diffusivity_raw
*CC(*)CCCN(CC(C)C)CC(C)C,PI266,1,14,-0.742254304179207,0.0,1,5.6837605469892354e-08
*c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)cc1C)C2=O,PI980,2,54,-1.6433786153864423,3.9224953307359274e-09,2,4.4461405382538214e-08
*CC(*)c1ccc(C(C)C)cc1C(C)C,PI188,2,14,0.03671478363993284,3.120592647128605e-09,2,6.753610419289075e-08
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(c7ccccc7)CC6)cc5)cc4C3=O)cc2)cc1,PI1028,2,61,0.4444061584997675,0.0,1,7.313540937909101e-08
*CC(*)c1ccc(C(C)(O)CCC)cc1,PI141,2,14,0.8872134750679206,6.783813459283707e-09,2,7.921700309688774e-08
*CC(*)c1ccc(CCCCCC)cc1,PI124,2,14,0.274588903856851,2.5396679665307814e-09,2,7.080310927841981e-08
*CC(*)c1nc(C)nc(C)n1,PI383,1,10,0.5437313711258953,0.0,1,7.449955935250933e-08
*CCCC=C(*)c1ccc(Cl)cc1,PI391,2,12,-0.9853219325537059,4.741867004043738e-09,2,5.3499271828120685e-08
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,PI394,1,14,0.31464234493524457,0.0,1,7.13532102964571e-08
*CC(*)c1ccccc1C(=O)OCCCCCC,PI106,1,17,-0.04060637989590954,0.0,1,6.647416170725899e-08
*CC(*)O[N+](=O)[O-],PI267,1,6,-0.5088353182941406,0.0,1,6.004342295541851e-08
*CC(OC)C1C(=O)OC(=O)C1*,PI387,2,11,-0.25436706880051474,3.276743107225502e-09,2,6.353833473667174e-08
*CC(*)OC(C)C,PI274,1,6,-0.26509234450324487,0.0,1,6.339103191014918e-08
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,-1.8630214995543888,0.0,1,4.144479130563656e-08
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,PI658,1,26,-0.7490240633676186,0.0,1,5.674462840422342e-08
*CC(*)C(=O)c1ccccc1,PI321,1,10,-1.081686846116979,0.0,1,5.217577912369915e-08
*C=CC(C)C(*)C(=O)OC,PI268,2,9,0.3011737821477236,1.2771030447184456e-09,2,7.116823068168659e-08
*CCC=C(*)CCCCCCC,PI68,2,11,0.519521350430977,9.862456222681304e-10,2,7.416705466196571e-08
*CC(*)OC(=O)c1ccc(CC)cc1,PI344,2,13,-0.10576448613146211,6.068841172364994e-10,2,6.557926879397832e-08
*CC(*)C(=O)Oc1ccccc1C(=O)OC,PI465,2,15,-0.21936800213501934,2.2398190057196275e-09,2,6.401901808583421e-08
*CC(*)SC,PI317,2,4,-0.06395595083063374,7.1838098603627e-09,2,6.615347458535139e-08
*/C=C\CCCCC*,PI74,1,7,0.10447064573277598,0.0,1,6.846667514289517e-08
*CC(*)c1ccc(CCCCCCCCCC)cc1,PI127,2,18,1.331651401039566,0.0,1,8.532099189158003e-08
*CC(*)c1cccc2ccccc12,PI217,2,12,-0.7326418349943309,6.404219723468376e-09,2,5.696962481559858e-08
*CC(*)OC(=O)c1ccncc1,PI354,2,11,-0.5764470201225528,9.767386456005866e-10,2,5.9114831927889885e-08
*CC(*)CCC1CCCCC1,PI42,1,10,0.211169759336012,0.0,1,6.993209957177099e-08
*CC(*)Cc1cc(C)ccc1C,PI291,1,11,-0.3890801176878916,0.0,1,6.168816198395342e-08
*CC(*)c1ccc(OC(C)=O)cc1,PI232,1,12,0.5457618846465006,0.0,1,7.452744678302091e-08
*c1ccc(Oc2ccc(N3C(=O)C4CCC5C(=O)N(*)C(=O)C5C4C3=O)cc2)cc1,PI1064,5,29,1.0387913522142664,2.755147505221895e-09,5,8.129880037285552e-08
*CC(*)c1cccc(Cl)c1,PI116,2,9,-1.7783518372330875,7.385427134652402e-09,2,4.26076593685493e-08
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3)cccc12,PI817,1,24,0.6278143531567816,0.0,1,7.565436984492799e-08
*c1ccc(Oc2ccc3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3c2)cc1,PI1050,5,40,1.6259326842546364,7.97268105768872e-09,4,8.936270289386533e-08
*CC(*)c1ccccc1C(=O)OC,PI98,1,12,-0.9121349177628847,0.0,1,5.4504435186363546e-08
*CC(*)c1ccc(O)cc1,PI231,1,9,0.7149984975026444,0.0,1,7.685177224707117e-08
*CCCCCCCCCCCCSC(=O)S*,PI1125,1,16,0.16478946059516905,0.0,1,6.929510437567099e-08
*CC(*)(C)C(=O)OC(C)CC,PI442,1,10,-0.20039459163443818,0.0,1,6.427960224916692e-08
*c1ccc(Sc2ccc3c(c2)Sc2ccc(Sc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc2S3)cc1,PI1086,2,44,0.2627064900163959,1.7051750728718709e-09,2,7.063991411280142e-08
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(C(c4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C)c4)c4cccc5ccccc45)cc3C)cc1)C2=O,PI1006,5,72,-0.4718113318143903,3.187356424114748e-09,4,6.055191691014382e-08
*CC(*)CC1CCCC1,PI23,1,8,0.10093689205208843,0.0,1,6.841814194712219e-08
*CC(*)c1cc(C(C)C)ccc1C(C)C,PI194,1,14,-0.7282254137410834,0.0,1,5.7030280723357864e-08
*CC(*)C(=O)Oc1cccc(N(C)C)c1,PI475,2,14,0.45503988529970424,5.732734558908547e-10,2,7.328145485684975e-08
*CC(*)c1ccc(COCCCCO)cc1,PI151,3,15,0.4254344840712049,5.393985251350806e-09,3,7.287484905927734e-08
*CC(*)OCC,PI254,1,5,0.0898769026584064,0.0,1,6.826624210378443e-08
*c1ccc(Oc2c(C)cc(C(c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)c(C)c3)c3cccc4ccccc34)cc2C)cc1,PI1005,5,63,1.3405099111688983,3.556580963387381e-09,2,8.544265623075383e-08
*C=CC1CCC(*)C1,PI75,1,7,1.146032227633816,0.0,1,8.277166545398652e-08
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,-0.33247674720271553,5.568216115113731e-10,2,6.246556264891236e-08
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,PI1083,5,46,-0.27583454418630104,1.5387995445292516e-09,5,6.324349664669845e-08
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccccc8Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4-c4ccccc43)cc2)c(C(F)(F)F)c1,PI1078,5,77,-0.515598169416375,2.4943155498076234e-09,4,5.995054076634781e-08
*C(O)C(*)O,PI305,2,4,2.7643575768127673,1.4174921021701102e-08,2,1.0499803098289285e-07
*CC(*)C(=O)C(C)(C)C,PI299,1,8,-0.2576755224899904,0.0,1,6.349289585068071e-08
*c1ccc(Oc2c(C)cc(Cc3cc(C)c(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)c(C)c3)cc2C)cc1,PI997,1,47,0.7981064027754577,0.0,1,7.799319086346523e-08
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,PI143,2,16,0.28784647209584574,3.653150434498682e-09,2,7.098519105687914e-08
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,PI598,1,32,0.2656816515218567,0.0,1,7.068077550520404e-08
*CC(*)N1CCCC1=O,PI408,1,8,0.13254421958520302,0.0,1,6.88522425533441e-08
*CC(*)CCCCCCCCCCC,PI63,1,13,0.9846276668553543,0.0,1,8.0554906773345e-08
*C(C)C(*)OCCCC,PI284,1,8,-0.04452248957253302,0.0,1,6.642037716685858e-08
*CC(*)c1ccc(Oc2ccccc2)cc1,PI183,1,15,-0.18759935289930346,0.0,1,6.445533431274796e-08
*CC(*)c1ccccc1COCCC,PI87,2,13,-0.2737232281432531,1.9911260503641132e-10,2,6.327249383329238e-08
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,0.6694956110704108,3.452033408306938e-09,4,7.622682758623629e-08
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,0.16161453716498797,9.14437047184319e-09,2,6.925149941779197e-08
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,PI965,4,44,0.5435709884423757,8.207944573444502e-09,3,7.449735662847104e-08
*CC(*)CC(C)CC,PI38,1,7,0.24738260739992646,0.0,1,7.04294532085534e-08
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(c%10ccccc%10)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1039,2,84,0.11286901982332656,4.442764034845001e-09,2,6.85820198926266e-08
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI968,4,37,2.1726687218833205,4.265575553009542e-09,4,9.687167198115439e-08
*CC(*)C(=O)Oc1ccc(C#N)cc1,PI476,2,13,-0.04960454699802519,4.091313989351946e-10,2,6.635057929461046e-08
*CC(*)c1ccc(Cl)c(C)c1,PI207,2,10,-1.392957247631958,1.1205824263950147e-09,2,4.7900736576839597e-08
*c1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)cc1C)C2=O,PI971,5,48,-0.5734481836518917,2.9429289728399717e-09,5,5.9156018476436594e-08
*CC(*)c1ccccc1C(=O)OCCCCC,PI104,1,16,-0.40834120823355524,0.0,1,6.142362677218622e-08
*CC(*)OCC(C)(C)CC,PI316,1,9,-0.0747232269606398,0.0,1,6.600559491755925e-08
*c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI996,2,54,-1.3158928227985243,0.0,1,4.8959152967889664e-08
*CC(*)CCCCCCCCCCCCCCCC,PI33,2,18,1.7979057244215086,6.596502461823888e-09,2,9.172461093281771e-08
*CC(*)c1ccc(CCCCCCCCC)cc1,PI126,1,17,0.5389466112945971,0.0,1,7.443384461781002e-08
*c1ccc(Oc2c(C)cc(Cc3cc(C)c(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)c(C)c3)cc2C)cc1,PI998,3,53,1.3549066310735454,8.772925201188967e-09,2,8.564038331893193e-08
*CC(*)c1ccccc1C(=O)OCC(C)C,PI103,1,15,-0.4858164579816935,0.0,1,6.035956803936153e-08
*CC(*)CCCCCCCCCCCCCCCCCCCC,PI54,3,22,2.1295125195634204,5.048425533411384e-09,3,9.627895709345385e-08
*c1c(C)cc(C(c2cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c(C)c2)c2cccc3ccccc23)cc1C,PI1001,5,49,0.8631048846103946,5.7185138792377116e-09,5,7.888589146709863e-08
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,PI223,1,14,-1.690100259133528,0.0,1,4.381972209397024e-08
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)CCC(C(C)(C)C)CC3)cc2)cc1,PI1047,3,84,0.8138106796577111,4.682288341019929e-10,2,7.820887616959308e-08
*c1ccc(C(=O)Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1091,3,37,3.2138582665682267,1.3498996434607308e-10,2,1.111715526675585e-07
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,PI466,1,16,-0.2700168602618852,0.0,1,6.332339774291579e-08
*CC(*)c1ccc(COC)cc1,PI147,2,11,-0.46276530166642516,2.0966018608906378e-09,2,6.067615668229853e-08
*CC(*)C(=O)c1ccc(Br)cc1,PI406,1,11,-1.4843220950991083,0.0,1,4.664591566130001e-08
*C1Cc2ccccc2C1*,PI386,1,9,-1.5155046957879073,0.0,1,4.6217648328403817e-08
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5ccc(C(F)(F)F)cc5)c5c(=O)n(*)c(=O)c5c(-c5ccc(C(F)(F)F)cc5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1054,5,64,-1.2382306805988355,3.1461237261971705e-09,4,5.002577851457837e-08
*CC(*)c1ccc(Br)cc1,PI136,1,9,-1.7206959259294432,0.0,1,4.339951581458912e-08
*CC(*)C=O,PI242,1,4,0.2614244292636657,0.0,1,7.06223060644971e-08
*CC(*)c1ccc(Cl)cc1Cl,PI191,1,10,-2.220727907548646,0.0,1,3.653198846278044e-08
*CCCCO*,PI527,1,5,0.42044984142836556,0.0,1,7.280638909882073e-08
*CC(*)c1ccc(C(=O)OC)cc1,PI160,2,12,-0.12846941454524516,3.0643872729483662e-09,2,6.526743530605303e-08
*C(F)(F)C(*)(F)OC(F)(F)F,PI315,2,10,-1.9082821087659927,1.0914009820243872e-09,2,4.082317412284419e-08
*CC(*)C1CCC(C)CC1,PI66,1,9,-0.7907850112782402,0.0,1,5.6171076186453364e-08
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,PI434,1,15,-2.096641441865435,0.0,1,3.82362138491432e-08
*CCCCCCCCCCN1C(=O)C2C3C=CC(C4C(=O)N(*)C(=O)C34)C2C1=O,PI1080,3,28,0.07807304646145818,4.087103672733606e-09,3,6.81041258626855e-08
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,PI298,1,15,0.2880711726390894,0.0,1,7.098827713373705e-08
*CC(*)CCCC(C)(C)C,PI41,1,9,0.3870662856590048,0.0,1,7.234789346099309e-08
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,PI428,1,15,-0.9174171424746523,0.0,1,5.4431888181332e-08
*CC(*)C(=O)OCCc1ccccc1,PI474,1,13,-0.6741920111702439,0.0,1,5.7772384996098404e-08
*CC(*)OCC(F)(F)F,PI376,2,8,-1.8904541564913384,8.869893123204678e-09,2,4.106802636104796e-08
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,2.674783905512106,0.0,1,1.0376781039646709e-07
*CC(*)C(=O)OCCCC,PI415,1,9,-0.7954580331351052,0.0,1,5.610689608078552e-08
*CC(*)OC(=O)CC1CCCCC1,PI341,2,12,-0.7441786227969079,1.179108636165411e-09,2,5.681117653889106e-08
*CC(*)OC(=O)c1cccnc1,PI368,1,11,-0.8591317417868896,0.0,1,5.52323901455027e-08
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,PI966,5,45,0.756307028803356,1.3759541889635414e-08,4,7.741911089539531e-08
*c1ccc2c(c1)C(=O)N(c1ccc3c(c1)-c1cc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)ccc1C3)C2=O,PI959,5,44,-0.3424153699515915,3.336078284348973e-09,5,6.232906385268298e-08
*c1ccc(Oc2c(C)cc(-c3cc(C)c(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)c(C)c3)cc2C)c(C(F)(F)F)c1,PI1075,5,68,0.2659739637149216,2.4530208259042504e-09,4,7.068479017237521e-08
*CC(*)C(C)C,PI5,3,5,-0.11002752992957053,1.6957065525738114e-09,3,6.552071939921628e-08
*CC(*)C(=O)OCCCCCCCC,PI421,1,13,0.953179828217131,0.0,1,8.012299661571085e-08
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,-0.18027530499940225,0.0,1,6.455592407725793e-08
*CC(*)c1cc(Br)ccc1OC(C)C,PI202,1,13,-1.5077547136521128,0.0,1,4.63240879487682e-08
*C(F)(F)C(*)(F)OC(F)C(F)F,PI405,1,11,-1.2956141528354992,0.0,1,4.9237663794694e-08
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2C(C)(C)C)cc1,PI1030,2,40,2.181612060726287,2.867563871924272e-09,2,9.699450137282986e-08
*CC(*)(C)C(=O)OCCC,PI439,1,9,-0.623217432322618,0.0,1,5.847247884479465e-08
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,0.44425834147294563,0.0,1,7.313337923399614e-08
*CC(*)C(=O)OC,PI411,1,6,0.04849339910888902,0.0,1,6.769787377338349e-08
*CC(*)c1c(Cl)cccc1Cl,PI186,2,10,-2.137056217263306,2.334780924442085e-09,2,3.768115020188744e-08
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,PI964,5,52,0.3594284050012632,9.713087307779593e-09,3,7.196830993765836e-08
*C=CC(C)CCCCC*,PI80,1,9,-0.02880353759961754,0.0,1,6.663626402326764e-08
*c1cccc(Oc2cccc(Oc3cccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)c3)c2)c1,PI962,5,36,0.25241451743325677,2.2911305511041334e-09,2,7.049856234768053e-08
*CC(*)C(=O)c1ccc(OC)cc1,PI327,1,12,-0.6356651317877806,0.0,1,5.8301519946791204e-08
*CC(*)C(N)=O,PI455,1,5,2.966863329416625,0.0,1,1.0777928067496692e-07
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,PI185,2,15,-0.3083707744636063,2.2060674351947045e-09,2,6.279663832649544e-08
*Oc1ccc2ccc(OC(=O)Oc3ccc(OC(*)=O)cc3)cc2c1,PI816,1,24,1.2164182304079756,0.0,1,8.373835921959477e-08
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,PI269,1,28,0.668756207997754,0.0,1,7.62166724941379e-08
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,PI469,2,15,0.36918590572720267,4.904080798910634e-09,2,7.210232117210719e-08
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,0.6621257205529509,0.0,1,7.612560821113832e-08
*CC(*)c1ccccc1C(=O)NC,PI94,2,12,-0.36670468220788,4.195960800754941e-09,2,6.199547015786265e-08
*CC(*)C,PI2,1,3,0.586609433771899,0.0,1,7.508845422091446e-08
*CC(*)c1ccc(C(C)CC)cc1,PI123,1,12,0.3723928878296217,0.0,1,7.214636642944014e-08
*c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1034,1,42,0.8808688670073934,0.0,1,7.912986513172983e-08
*CC(*)c1ccc(COC(C)CC)cc1,PI152,1,14,0.28260639114144226,0.0,1,7.091322286163785e-08
*CC(*)c1ccc(COCCC)cc1,PI149,1,13,0.44569389934965636,0.0,1,7.315309543885066e-08
*C(F)(F)C(*)(F)F,PI513,1,6,0.17785705885180303,0.0,1,6.947457707291583e-08
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,PI336,1,17,0.5642671740514451,0.0,1,7.478160168873327e-08
*CC(*)c1ccccc1COCCCCC,PI90,2,15,-0.1998698916778407,1.5782272920538299e-09,2,6.42868085708341e-08
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,PI1109,2,42,0.21535220375695124,7.670121488085429e-09,2,6.998954200048367e-08
*CC(*)C1CC=CCC1,PI67,3,8,-0.8839339868674781,7.501792802813216e-10,3,5.4891751740883774e-08
*CCC=C(*)C(C)C,PI69,1,7,-0.0942091731301047,0.0,1,6.573797149903043e-08
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,PI958,2,55,1.8594446409311538,0.0,1,9.25697972566247e-08
*C1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,PI978,5,28,1.9993634453304947,1.4396420283769421e-08,4,9.449146677290898e-08
*CC(*)SCCCC,PI307,2,7,-0.2629376374289992,5.296418292668023e-09,2,6.3420625036812e-08
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(c8ccccc8)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1025,2,72,0.8011613563654836,6.334085672670804e-09,2,7.803514813441832e-08
*CC(*)CCCCCCCCCC,PI31,1,12,1.5515164636161622,0.0,1,8.834065740589863e-08
*c1ccc(Cc2ccc(N3C(=O)C4CCC5C(=O)N(*)C(=O)C5C4C3=O)c(C)c2)cc1C,PI1066,5,31,0.7764740756116292,2.69577880767647e-09,5,7.769608867012192e-08
*CC(C)O*,PI525,1,4,-0.3464215320063182,0.0,1,6.227404251705256e-08
*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,PI1110,1,42,-0.6730733397860731,0.0,1,5.778774902602225e-08
